Anon Student Id,Session Id,Time,KC_Model(MATHia),Level (Section),Problem Name,Step Name,Attempt At Step,Help Level,Selection,Action,Input,Outcome,CF (Rule Id),CF (Semantic Event ID),CF (Etalon),CF (Skill Previous p-Known),CF (Skill New p-Known),CF (Module),CF (Workspace Encounter),CF (Workspace Variant),CF (Workspace Progress Status),CF (Skill Opportunity),cf_school_id,cf_class_id,"Selection <- ifelse(Action == ""Done Button"", ""Done Button"", NA)",Time_Diff_Minutes,Idle,Monitor,Working,Struggle,Hint Abuse,Attempt_Count,Time,Detector_Name,Value
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:54:47,position divisor.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-enter-divisor,1,0,,Attempt,"{value=2, escape-in-messages=false}",OK,,30f51dc0-7c45-4f22-8b84-096e642de6f1,{value=2},0.902456718090267,0.979770573101562,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,2.0,sch5,c13,,,False,False,False,False,False,0.0,2022-12-08T13:54:47.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:54:50,position dividend.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-enter-dividend,1,0,,Attempt,"{value=690, escape-in-messages=false}",OK,,a3e789e0-8110-4e5c-9ec6-a7976ad34be0,{value=690},0.465745025763745,0.829188237147466,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,2.0,sch5,c13,,0.05,False,False,False,False,False,0.0,2022-12-08T13:54:50.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:54:56,calculate non-zero digit of quotient.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-quotient-digit-0,1,0,,Attempt,"{value=3, escape-in-messages=false}",OK,,9b0af5f7-ca06-473f-9f37-4dc4f690c0d0,{value=3},0.755239909204638,0.928000830767091,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,4.0,sch5,c13,,0.1,False,False,False,False,False,0.0,2022-12-08T13:54:56.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:55:01,calculate product within division problem.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-product-0,1,0,,Attempt,"{value=6, escape-in-messages=false}",OK,,aeaf3021-e8b0-46b9-b458-12d5003bd1a6,{value=6},0.755239909204638,0.928000830767091,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,4.0,sch5,c13,,0.08333333333333333,False,False,False,False,False,0.0,2022-12-08T13:55:01.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:55:04,calculate difference within division problem.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-difference-digit-0-0,1,0,,Attempt,"{value=0, escape-in-messages=false}",OK,,b8e6de8d-8592-4c35-95d4-8603f42f0f8b,{value=0},0.957435473662151,0.989302934422203,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,4.0,sch5,c13,,0.05,False,False,False,False,False,0.0,2022-12-08T13:55:04.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:55:05,bring down digit of dividend.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-bring-next-digit-1,1,0,,Attempt,"{value=9, escape-in-messages=false}",OK,,89842db3-373f-4a76-b8f2-7ece3e8af3cf,{value=9},0.985350128972078,0.998316549999786,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,3.0,sch5,c13,,0.016666666666666666,False,False,False,False,False,0.0,2022-12-08T13:55:05.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:55:21,calculate non-zero digit of quotient.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-quotient-digit-1,1,0,,Attempt,"{value=2, escape-in-messages=false}",ERROR," Hints & JITs, This quotient digit is bound",df143692-bcd3-4ceb-8d73-2ccd3fd46209,{value=4},0.928000830767091,0.831173194587351,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,5.0,sch5,c13,,0.26666666666666666,False,False,False,False,False,0.0,2022-12-08T13:55:21.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:55:32,calculate product within division problem.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-product-1,1,0,,Attempt,"{value=9, escape-in-messages=false}",ERROR, Hints,ae76c570-dbc0-466c-ba4c-0b3f59e848d8,{value=8},0.928000830767091,0.831173194587351,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,5.0,sch5,c13,,0.08333333333333333,False,False,True,False,False,0.0,2022-12-08T13:55:32.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:55:52,calculate difference within division problem.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-difference-digit-1-0,1,0,,Attempt,"{value=1, escape-in-messages=false}",OK,,831215db-2844-4914-93c8-521dbdf98dfe,{value=1},0.989302934422203,0.997372008177305,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,5.0,sch5,c13,,0.03333333333333333,False,True,False,False,False,0.0,2022-12-08T13:55:52.000Z,critical_struggle,"0, > 0 s,"
s6,-yqpoow1j4_rikmk0bil1pmzgpy:1670507333394,2022-12-08 13:55:55,bring down digit of dividend.,decimal_ops_whole_number_and_decimal_quotients,decimal_ops_algorithm_divide_whole-072,gn-bring-next-digit-2,1,0,,Attempt,"{value=0, escape-in-messages=false}",OK,,8e35b9c4-aed4-4d44-a37a-e683089d6c40,{value=0},0.998316549999786,0.999808451321421,composing_and_decomposing_mb_c1,0,empty-variant,GRADUATED,4.0,sch5,c13,,0.05,False,False,True,False,False,0.0,2022-12-08T13:55:55.000Z,critical_struggle,"0, > 0 s,"
